"Indicator","Year","Geography","Sex","AgeGroup","Location","Value","Unit","Source","DataType"
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Albania","Female","Not Available","Not Available","0.37","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Albania","Female","Not Available","Not Available","0.37","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Albania","Female","Not Available","Not Available","0.37","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Albania","Female","Not Available","Not Available","0.37","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Albania","Male","Not Available","Not Available","0.48","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Albania","Male","Not Available","Not Available","0.48","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Albania","Male","Not Available","Not Available","0.48","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Albania","Male","Not Available","Not Available","0.48","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Albania","Male","Not Available","Not Available","0.48","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Albania","Male","Not Available","Not Available","0.48","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Albania","Male","Not Available","Not Available","0.48","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Albania","Male","Not Available","Not Available","0.48","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Algeria","Male","Not Available","Not Available","1.43","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Algeria","Male","Not Available","Not Available","1.43","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Algeria","Male","Not Available","Not Available","1.43","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Algeria","Male","Not Available","Not Available","1.43","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Algeria","Male","Not Available","Not Available","1.43","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Algeria","Male","Not Available","Not Available","1.43","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Algeria","Male","Not Available","Not Available","1.43","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Algeria","Male","Not Available","Not Available","1.43","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Algeria","Female","Not Available","Not Available","1.06","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Algeria","Female","Not Available","Not Available","1.06","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Algeria","Female","Not Available","Not Available","1.06","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Algeria","Female","Not Available","Not Available","1.06","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Algeria","Female","Not Available","Not Available","1.06","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Algeria","Female","Not Available","Not Available","1.06","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Algeria","Female","Not Available","Not Available","1.06","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Algeria","Female","Not Available","Not Available","1.06","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Algeria","Both Sexes","Not Available","Not Available","1.25","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Algeria","Both Sexes","Not Available","Not Available","1.25","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Algeria","Both Sexes","Not Available","Not Available","1.25","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Algeria","Both Sexes","Not Available","Not Available","1.25","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Algeria","Both Sexes","Not Available","Not Available","1.25","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Algeria","Both Sexes","Not Available","Not Available","1.25","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Algeria","Both Sexes","Not Available","Not Available","1.25","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Algeria","Both Sexes","Not Available","Not Available","1.25","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Algeria","Male","Not Available","Not Available","1.15","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Algeria","Male","Not Available","Not Available","1.15","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Algeria","Male","Not Available","Not Available","1.15","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Algeria","Male","Not Available","Not Available","1.15","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Algeria","Male","Not Available","Not Available","1.15","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Algeria","Male","Not Available","Not Available","1.15","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Algeria","Male","Not Available","Not Available","1.15","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Algeria","Male","Not Available","Not Available","1.15","Rate (per 100,000 population)","Global Health Observatory",""
